row	col	intensity
1	2	52
1	3	93
1	4	76
1	5	13
1	6	18
1	7	91
1	8	58
1	9	96
1	10	33
2	1	16
2	3	22
2	4	26
2	5	26
2	6	26
2	7	17
2	8	29
2	9	63
2	10	20
3	1	78
3	2	54
3	4	65
3	5	71
3	6	72
3	7	39
3	8	60
3	9	63
3	10	65
4	1	67
4	2	44
4	3	75
4	5	77
4	6	14
4	7	80
4	8	68
4	9	22
4	10	70
5	1	93
5	2	72
5	3	53
5	4	65
5	6	79
5	7	99
5	8	40
5	9	14
5	10	12
6	1	85
6	2	99
6	3	21
6	4	21
6	5	45
6	7	75
6	8	8
6	9	16
6	10	29
7	1	52
7	2	26
7	3	59
7	4	61
7	5	37
7	6	35
7	8	43
7	9	81
7	10	99
8	1	39
8	2	33
8	3	8
8	4	19
8	5	41
8	6	44
8	7	30
8	9	71
8	10	98
9	1	3
9	2	20
9	3	58
9	4	81
9	5	73
9	6	34
9	7	35
9	8	62
9	10	54
10	1	71
10	2	95
10	3	66
10	4	1
10	5	78
10	6	83
10	7	89
10	8	11
10	9	31
1	1	63
2	2	21
3	3	37
4	4	88
5	5	50
6	6	23
7	7	6
8	8	97
9	9	13
10	10	53
