row	col	intensity
1	2	42
1	3	34
1	4	7
1	5	24
1	6	1
1	7	49
1	8	42
1	9	4
1	10	84
2	1	3
2	3	12
2	4	99
2	5	10
2	6	73
2	7	85
2	8	31
2	9	97
2	10	54
3	1	27
3	2	84
3	4	58
3	5	24
3	6	20
3	7	52
3	8	84
3	9	3
3	10	75
4	1	94
4	2	13
4	3	88
4	5	54
4	6	54
4	7	17
4	8	69
4	9	66
4	10	26
5	1	14
5	2	66
5	3	25
5	4	83
5	6	75
5	7	41
5	8	87
5	9	29
5	10	89
6	1	83
6	2	3
6	3	51
6	4	12
6	5	72
6	7	28
6	8	74
6	9	56
6	10	97
7	1	13
7	2	95
7	3	67
7	4	59
7	5	65
7	6	28
7	8	42
7	9	46
7	10	20
8	1	43
8	2	100
8	3	3
8	4	87
8	5	5
8	6	10
8	7	50
8	9	91
8	10	40
9	1	51
9	2	68
9	3	77
9	4	63
9	5	30
9	6	72
9	7	46
9	8	38
9	10	72
10	1	48
10	2	29
10	3	11
10	4	32
10	5	91
10	6	53
10	7	68
10	8	61
10	9	37
1	1	11
2	2	6
3	3	35
4	4	71
5	5	63
6	6	63
7	7	63
8	8	75
9	9	22
10	10	74
