row	col	intensity
1	2	76
1	3	84
1	4	34
1	5	23
1	6	64
1	7	33
1	8	54
1	9	41
1	10	27
2	1	32
2	3	75
2	4	58
2	5	73
2	6	30
2	7	65
2	8	69
2	9	63
2	10	84
3	1	60
3	2	15
3	4	98
3	5	12
3	6	48
3	7	59
3	8	25
3	9	30
3	10	29
4	1	84
4	2	27
4	3	79
4	5	42
4	6	83
4	7	82
4	8	4
4	9	18
4	10	15
5	1	70
5	2	80
5	3	31
5	4	56
5	6	83
5	7	1
5	8	8
5	9	88
5	10	59
6	1	77
6	2	16
6	3	18
6	4	92
6	5	4
6	7	30
6	8	74
6	9	41
6	10	91
7	1	82
7	2	76
7	3	48
7	4	65
7	5	6
7	6	99
7	8	99
7	9	77
7	10	31
8	1	23
8	2	80
8	3	29
8	4	82
8	5	76
8	6	93
8	7	40
8	9	75
8	10	68
9	1	2
9	2	12
9	3	76
9	4	61
9	5	51
9	6	85
9	7	26
9	8	7
9	10	88
10	1	6
10	2	19
10	3	34
10	4	34
10	5	81
10	6	93
10	7	32
10	8	73
10	9	6
1	1	71
2	2	64
3	3	95
4	4	78
5	5	96
6	6	1
7	7	91
8	8	39
9	9	46
10	10	28
